"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","lat.Ret","lon.Ret","Address.Ret"
"54","CANNABIS CITY","2014-12",2334803,778268,47.5787689,-122.3295643,"2733 4TH AVE S, SEATTLE WA 98134"
"24","GANJA GODDESS","2014-12",196762,65587,47.5751712,-122.334707,"3207 1ST AVE S UNIT A, SEATTLE WA 98134"
"12","UNCLE IKE'S","2014-12",1319621,439874,47.6131353,-122.3016857,"2310 E UNION ST. SEATTLE, WA 98122"
"87","#HASHTAG","2015-12",2319590,843702,47.6504001,-122.3423456,"3540 STONE WAY N, SEATTLE WA 98103"
"42","AMERICAN MARY","2015-12",530051,196012,47.6611776,-122.3242521,"321 NE 45TH ST, SEATTLE WA 98105"
"53","CANNABIS CITY","2015-12",4723455,1656318,47.5787689,-122.3295643,"2733 4TH AVE S, SEATTLE WA 98134"
"23","GANJA GODDESS","2015-12",3879483,1389642,47.5751712,-122.334707,"3207 1ST AVE S UNIT A, SEATTLE WA 98134"
"109","OZ.","2015-12",798210,294740,47.6536448,-122.3429975,"3831 Stone Way N, Seattle, WA 98103, USA"
"98","PONDER","2015-12",197219,72971,47.6127099,-122.3007719,"2413 East Union Street, Seattle, WA 98122, USA"
"65","RUCKUS","2015-12",38031,14071,47.6229705,-122.3129892,"1465 E REPUBLICAN ST, SEATTLE, WA 98112"
"76","SEATTLE CANNABIS COMPANY","2015-12",2610484,939005,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"11","UNCLE IKE'S","2015-12",13644308,4853908,47.6131353,-122.3016857,"2310 E UNION ST. SEATTLE, WA 98122"
"141","VELA","2015-12",116,39,47.584691,-122.333694,"1944 1st Avenue South #100, Seattle, WA 98134"
"86","#HASHTAG","2016-01",331604,122694,47.6504001,-122.3423456,"3540 STONE WAY N, SEATTLE WA 98103"
"41","AMERICAN MARY","2016-01",188631,69793,47.6611776,-122.3242521,"321 NE 45TH ST, SEATTLE WA 98105"
"52","CANNABIS CITY","2016-01",267310,98905,47.5787689,-122.3295643,"2733 4TH AVE S, SEATTLE WA 98134"
