"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"1","NORTHWEST CANNABIS SOLUTIONS","Oct-2016","$2,110,828","-$81","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"2","NORTHWEST CANNABIS SOLUTIONS","Sep-2016","$2,249,417","-$33","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"3","NORTHWEST CANNABIS SOLUTIONS","Aug-2016","$2,221,976","-$95","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"4","NORTHWEST CANNABIS SOLUTIONS","Jul-2016","$1,997,578","-$125","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"5","NORTHWEST CANNABIS SOLUTIONS","Jun-2016","$1,666,744","-$105","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"6","NORTHWEST CANNABIS SOLUTIONS","May-2016","$1,508,804","-$80","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"7","NORTHWEST CANNABIS SOLUTIONS","Apr-2016","$1,465,673","-$4","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"8","NORTHWEST CANNABIS SOLUTIONS","Mar-2016","$1,420,257","$0","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"9","NORTHWEST CANNABIS SOLUTIONS","Feb-2016","$1,218,375","$0","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"10","NORTHWEST CANNABIS SOLUTIONS","Jan-2016","$1,153,031","$0","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"11","NORTHWEST CANNABIS SOLUTIONS","All-2015","$5,954,714","$220,827","Thurston County","Processor since Feb 2015","http://www.502data.com/license/412882"
"12","GROW OP FARMS","Oct-2016","$2,018,591","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"13","GROW OP FARMS","Sep-2016","$2,117,128","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"14","GROW OP FARMS","Aug-2016","$2,320,838","-$11","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"15","GROW OP FARMS","Jul-2016","$1,830,482","-$2","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"16","GROW OP FARMS","Jun-2016","$1,846,937","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"17","GROW OP FARMS","May-2016","$1,021,834","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"18","GROW OP FARMS","Apr-2016","$1,120,027","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"19","GROW OP FARMS","Mar-2016","$1,214,445","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"20","GROW OP FARMS","Feb-2016","$1,074,470","$0","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"21","GROW OP FARMS","Jan-2016","$1,041,082","-$35","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"22","GROW OP FARMS","All-2015","$8,294,058","$899,050","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"23","GROW OP FARMS","All-2014","$42,136","$14,045","Spokane County","Producer/Processor since Dec 2014","http://www.502data.com/license/413287"
"24","COWLITZ COUNTY CANNABIS CULTIVATION","Oct-2016","$856,566","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"25","COWLITZ COUNTY CANNABIS CULTIVATION","Sep-2016","$718,551","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"26","COWLITZ COUNTY CANNABIS CULTIVATION","Aug-2016","$523,173","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"27","COWLITZ COUNTY CANNABIS CULTIVATION","Jul-2016","$363,089","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"28","COWLITZ COUNTY CANNABIS CULTIVATION","Jun-2016","$436,646","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"29","COWLITZ COUNTY CANNABIS CULTIVATION","May-2016","$415,409","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"30","COWLITZ COUNTY CANNABIS CULTIVATION","Apr-2016","$449,131","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
"31","COWLITZ COUNTY CANNABIS CULTIVATION","Mar-2016","$347,798","$0","Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com/license/416502"
