"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","County.Ret","Established.Ret","RetailerURLLink"
"1","MAIN STREET MARIJUANA","Oct-2016","$1,347,938","$498,737","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"2","MAIN STREET MARIJUANA","Sep-2016","$1,393,531","$515,606","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"3","MAIN STREET MARIJUANA","Aug-2016","$1,350,125","$499,546","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"4","MAIN STREET MARIJUANA","Jul-2016","$1,404,149","$519,535","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"5","MAIN STREET MARIJUANA","Jun-2016","$1,328,486","$491,540","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"6","MAIN STREET MARIJUANA","May-2016","$1,569,502","$580,716","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"7","MAIN STREET MARIJUANA","Apr-2016","$1,634,861","$604,899","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"8","MAIN STREET MARIJUANA","Mar-2016","$1,605,880","$594,176","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"9","MAIN STREET MARIJUANA","Feb-2016","$1,470,722","$544,167","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"10","MAIN STREET MARIJUANA","Jan-2016","$1,399,723","$517,897","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"11","MAIN STREET MARIJUANA","All-2015","$15,765,779","$5,623,158","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"12","MAIN STREET MARIJUANA","All-2014","$1,410,095","$470,032","Clark County","Retailer since Jul 2014","http://www.502data.com/license/414876"
"13","UNCLE IKE'S","Oct-2016","$1,203,513","$445,300","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"14","UNCLE IKE'S","Sep-2016","$1,262,365","$467,075","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"15","UNCLE IKE'S","Aug-2016","$1,356,644","$501,958","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"16","UNCLE IKE'S","Jul-2016","$1,394,889","$516,109","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"17","UNCLE IKE'S","Jun-2016","$1,306,206","$483,296","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"18","UNCLE IKE'S","May-2016","$1,370,628","$507,132","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"19","UNCLE IKE'S","Apr-2016","$1,408,444","$521,124","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"20","UNCLE IKE'S","Mar-2016","$1,461,633","$540,804","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"21","UNCLE IKE'S","Feb-2016","$1,360,234","$503,287","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"22","UNCLE IKE'S","Jan-2016","$1,400,016","$518,006","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"23","UNCLE IKE'S","All-2015","$13,644,308","$4,853,908","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"24","UNCLE IKE'S","All-2014","$1,319,621","$439,874","King County","Retailer since Sep 2014","http://www.502data.com/license/414533"
"25","CLEAR CHOICE CANNABIS","Oct-2016","$1,156,148","$427,775","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"26","CLEAR CHOICE CANNABIS","Sep-2016","$1,188,938","$439,907","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"27","CLEAR CHOICE CANNABIS","Aug-2016","$1,147,537","$424,589","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"28","CLEAR CHOICE CANNABIS","Jul-2016","$1,070,925","$396,242","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"29","CLEAR CHOICE CANNABIS","Jun-2016","$835,000","$308,950","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"30","CLEAR CHOICE CANNABIS","May-2016","$772,339","$285,765","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"31","CLEAR CHOICE CANNABIS","Apr-2016","$728,938","$269,707","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"32","CLEAR CHOICE CANNABIS","Mar-2016","$716,541","$265,120","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"33","CLEAR CHOICE CANNABIS","Feb-2016","$669,631","$247,764","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"34","CLEAR CHOICE CANNABIS","Jan-2016","$615,117","$227,593","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"35","CLEAR CHOICE CANNABIS","All-2015","$5,421,818","$1,929,552","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"36","CLEAR CHOICE CANNABIS","All-2014","$712,564","$237,521","Pierce County","Retailer since Aug 2014","http://www.502data.com/license/413358"
"37","GREENSIDE","Oct-2016","$895,916","$331,489","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"38","GREENSIDE","Sep-2016","$942,854","$348,856","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"39","GREENSIDE","Aug-2016","$953,021","$352,618","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"40","GREENSIDE","Jul-2016","$960,087","$355,232","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"41","GREENSIDE","Jun-2016","$867,859","$321,108","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"42","GREENSIDE","May-2016","$892,361","$330,174","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"43","GREENSIDE","Apr-2016","$880,647","$325,840","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"44","GREENSIDE","Mar-2016","$869,609","$321,755","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"45","GREENSIDE","Feb-2016","$805,647","$298,089","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"46","GREENSIDE","Jan-2016","$781,303","$289,082","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"47","GREENSIDE","All-2015","$7,245,878","$2,578,695","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"48","GREENSIDE","All-2014","$262,573","$87,524","King County","Retailer since Oct 2014","http://www.502data.com/license/414295"
"49","KUSHMART","Oct-2016","$766,860","$283,738","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"50","KUSHMART","Sep-2016","$813,161","$300,869","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"51","KUSHMART","Aug-2016","$797,407","$295,040","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"52","KUSHMART","Jul-2016","$798,545","$295,462","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"53","KUSHMART","Jun-2016","$718,664","$265,906","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"54","KUSHMART","May-2016","$736,681","$272,572","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"55","KUSHMART","Apr-2016","$760,078","$281,229","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"56","KUSHMART","Mar-2016","$762,442","$282,104","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"57","KUSHMART","Feb-2016","$720,556","$266,606","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"58","KUSHMART","Jan-2016","$646,070","$239,046","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"59","KUSHMART","All-2015","$5,082,863","$1,819,613","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"60","KUSHMART","All-2014","$188,833","$62,944","Snohomish County","Retailer since Nov 2014","http://www.502data.com/license/414520"
"61","HIGHER LEAF MARIJUANA BOUTIQUE","Oct-2016","$753,097","$278,646","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"62","HIGHER LEAF MARIJUANA BOUTIQUE","Sep-2016","$756,200","$279,794","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"63","HIGHER LEAF MARIJUANA BOUTIQUE","Aug-2016","$767,237","$283,878","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"64","HIGHER LEAF MARIJUANA BOUTIQUE","Jul-2016","$752,359","$278,373","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"65","HIGHER LEAF MARIJUANA BOUTIQUE","Jun-2016","$649,465","$240,302","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"66","HIGHER LEAF MARIJUANA BOUTIQUE","May-2016","$623,055","$230,530","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"67","HIGHER LEAF MARIJUANA BOUTIQUE","Apr-2016","$603,365","$223,245","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"68","HIGHER LEAF MARIJUANA BOUTIQUE","Mar-2016","$570,847","$211,213","King County","Retailer since Mar 2016","http://www.502data.com/license/422218"
"69","420 CARPENTER","Oct-2016","$735,738","$272,223","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"70","420 CARPENTER","Sep-2016","$733,219","$271,291","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"71","420 CARPENTER","Aug-2016","$702,986","$260,105","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"72","420 CARPENTER","Jul-2016","$565,296","$209,160","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"73","420 CARPENTER","Jun-2016","$442,985","$163,904","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"74","420 CARPENTER","May-2016","$391,969","$145,029","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"75","420 CARPENTER","Apr-2016","$370,141","$136,952","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"76","420 CARPENTER","Mar-2016","$357,182","$132,157","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"77","420 CARPENTER","Feb-2016","$326,493","$120,802","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"78","420 CARPENTER","Jan-2016","$323,403","$119,659","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"79","420 CARPENTER","All-2015","$2,525,437","$900,939","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"80","420 CARPENTER","All-2014","$352,174","$117,391","Thurston County","Retailer since Jul 2014","http://www.502data.com/license/415083"
"81","THE EVERGREEN MARKET OF AUBURN","Oct-2016","$724,511","$268,069","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"82","THE EVERGREEN MARKET OF AUBURN","Sep-2016","$720,257","$266,495","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"83","THE EVERGREEN MARKET OF AUBURN","Aug-2016","$691,078","$255,699","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"84","THE EVERGREEN MARKET OF AUBURN","Jul-2016","$650,012","$240,504","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"85","THE EVERGREEN MARKET OF AUBURN","Jun-2016","$530,701","$196,359","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"86","THE EVERGREEN MARKET OF AUBURN","May-2016","$419,835","$155,339","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"87","THE EVERGREEN MARKET OF AUBURN","Apr-2016","$293,165","$108,471","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"88","THE EVERGREEN MARKET OF AUBURN","Mar-2016","$122,005","$45,142","King County","Retailer since Mar 2016","http://www.502data.com/license/414714"
"89","BELLEVUE MARIJUANA","Oct-2016","$722,379","$267,280","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"90","BELLEVUE MARIJUANA","Sep-2016","$727,984","$269,354","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"91","BELLEVUE MARIJUANA","Aug-2016","$690,288","$255,407","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"92","BELLEVUE MARIJUANA","Jul-2016","$633,393","$234,355","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"93","BELLEVUE MARIJUANA","Jun-2016","$537,092","$198,724","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"94","BELLEVUE MARIJUANA","May-2016","$500,581","$185,215","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"95","BELLEVUE MARIJUANA","Apr-2016","$474,965","$175,737","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"96","BELLEVUE MARIJUANA","Mar-2016","$453,806","$167,908","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"97","BELLEVUE MARIJUANA","Feb-2016","$428,319","$158,478","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"98","BELLEVUE MARIJUANA","Jan-2016","$392,028","$145,050","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"99","BELLEVUE MARIJUANA","All-2015","$2,433,288","$880,007","King County","Retailer since Feb 2015","http://www.502data.com/license/415253"
"100","WORLD OF WEED","Oct-2016","$711,072","$263,097","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"101","WORLD OF WEED","Sep-2016","$743,858","$275,228","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"102","WORLD OF WEED","Aug-2016","$680,793","$251,893","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"103","WORLD OF WEED","Jul-2016","$617,670","$228,538","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"104","WORLD OF WEED","Jun-2016","$462,636","$171,175","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"105","WORLD OF WEED","May-2016","$417,759","$154,571","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"106","WORLD OF WEED","Apr-2016","$402,787","$149,031","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"107","WORLD OF WEED","Mar-2016","$371,538","$137,469","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"108","WORLD OF WEED","Feb-2016","$328,432","$121,520","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"109","WORLD OF WEED","Jan-2016","$280,854","$103,916","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"110","WORLD OF WEED","All-2015","$871,838","$322,051","Pierce County","Retailer since Jun 2015","http://www.502data.com/license/414449"
"111","GREENLIGHT","Oct-2016","$706,523","$261,413","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"112","GREENLIGHT","Sep-2016","$768,164","$284,221","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"113","GREENLIGHT","Aug-2016","$695,980","$257,513","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"114","GREENLIGHT","Jul-2016","$744,892","$275,610","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"115","GREENLIGHT","Jun-2016","$650,260","$240,596","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"116","GREENLIGHT","May-2016","$631,422","$233,626","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"117","GREENLIGHT","Apr-2016","$647,486","$239,570","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"118","GREENLIGHT","Mar-2016","$669,374","$247,668","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"119","GREENLIGHT","Feb-2016","$638,454","$236,228","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"120","GREENLIGHT","Jan-2016","$596,975","$220,881","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"121","GREENLIGHT","All-2015","$5,651,610","$2,014,299","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"122","GREENLIGHT","All-2014","$305,107","$101,702","Spokane County","Retailer since Sep 2014","http://www.502data.com/license/415112"
"123","ISSAQUAH CANNABIS COMPANY","Oct-2016","$701,761","$259,651","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"124","ISSAQUAH CANNABIS COMPANY","Sep-2016","$730,287","$270,206","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"125","ISSAQUAH CANNABIS COMPANY","Aug-2016","$757,623","$280,321","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"126","ISSAQUAH CANNABIS COMPANY","Jul-2016","$740,305","$273,913","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"127","ISSAQUAH CANNABIS COMPANY","Jun-2016","$686,997","$254,189","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"128","ISSAQUAH CANNABIS COMPANY","May-2016","$673,314","$249,126","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"129","ISSAQUAH CANNABIS COMPANY","Apr-2016","$655,540","$242,550","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"130","ISSAQUAH CANNABIS COMPANY","Mar-2016","$645,694","$238,907","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"131","ISSAQUAH CANNABIS COMPANY","Feb-2016","$597,102","$220,928","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"132","ISSAQUAH CANNABIS COMPANY","Jan-2016","$602,837","$223,050","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"133","ISSAQUAH CANNABIS COMPANY","All-2015","$4,364,118","$1,573,382","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"134","GREEN2GO","Oct-2016","$696,651","$257,761","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"135","GREEN2GO","Sep-2016","$696,123","$257,565","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"136","GREEN2GO","Aug-2016","$601,444","$222,534","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"137","GREEN2GO","Jul-2016","$510,125","$188,746","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"138","GREEN2GO","Jun-2016","$215,198","$79,623","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"139","BUD HUT","Oct-2016","$692,186","$256,109","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"140","BUD HUT","Sep-2016","$699,487","$258,810","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"141","BUD HUT","Aug-2016","$696,184","$257,588","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"142","BUD HUT","Jul-2016","$698,708","$258,522","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"143","BUD HUT","Jun-2016","$615,075","$227,578","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"144","BUD HUT","May-2016","$647,069","$239,416","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"145","BUD HUT","Apr-2016","$670,565","$248,109","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"146","BUD HUT","Mar-2016","$659,641","$244,067","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"147","BUD HUT","Feb-2016","$600,724","$222,268","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"148","BUD HUT","Jan-2016","$576,518","$213,312","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"149","BUD HUT","All-2015","$3,474,343","$1,259,837","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"150","THE STASH BOX","Oct-2016","$650,162","$240,560","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
