"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"1","NORTHWEST CANNABIS SOLUTIONS","Sep-2016",2251378,33,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"2","NORTHWEST CANNABIS SOLUTIONS","Aug-2016",2221976,95,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"3","NORTHWEST CANNABIS SOLUTIONS","Jul-2016",1997578,125,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"4","NORTHWEST CANNABIS SOLUTIONS","Jun-2016",1666744,105,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"5","NORTHWEST CANNABIS SOLUTIONS","May-2016",1508804,80,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"6","NORTHWEST CANNABIS SOLUTIONS","Apr-2016",1465673,4,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"7","NORTHWEST CANNABIS SOLUTIONS","Mar-2016",1420257,0,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"8","NORTHWEST CANNABIS SOLUTIONS","Feb-2016",1218375,0,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"9","NORTHWEST CANNABIS SOLUTIONS","Jan-2016",1153031,0,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"10","NORTHWEST CANNABIS SOLUTIONS","All-2015",5954714,220827,"Thurston County","Processor since Feb 2015","http://www.502data.com//license/412882"
"11","GROW OP FARMS","Sep-2016",2117798,0,"Spokane County","Producer/Processor since Dec 2014","http://www.502data.com//license/413287"
"12","GROW OP FARMS","Aug-2016",2320838,11,"Spokane County","Producer/Processor since Dec 2014","http://www.502data.com//license/413287"
"13","GROW OP FARMS","Jul-2016",1830482,2,"Spokane County","Producer/Processor since Dec 2014","http://www.502data.com//license/413287"
"14","GROW OP FARMS","Jun-2016",1846937,0,"Spokane County","Producer/Processor since Dec 2014","http://www.502data.com//license/413287"
"15","GROW OP FARMS","May-2016",1021834,0,"Spokane County","Producer/Processor since Dec 2014","http://www.502data.com//license/413287"
