"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"1","MAIN STREET MARIJUANA","Sep-2016",1393531,515606,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"2","MAIN STREET MARIJUANA","Aug-2016",1350125,499546,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"3","MAIN STREET MARIJUANA","Jul-2016",1404149,519535,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"4","MAIN STREET MARIJUANA","Jun-2016",1328486,491540,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"5","MAIN STREET MARIJUANA","May-2016",1569502,580716,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"6","MAIN STREET MARIJUANA","Apr-2016",1634861,604899,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"7","MAIN STREET MARIJUANA","Mar-2016",1605880,594176,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"8","MAIN STREET MARIJUANA","Feb-2016",1470722,544167,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"9","MAIN STREET MARIJUANA","Jan-2016",1399723,517897,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"10","MAIN STREET MARIJUANA","All-2015",15765779,5623158,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"11","MAIN STREET MARIJUANA","All-2014",1410095,470032,"Clark County","Retailer since Jul 2014","http://www.502data.com//license/414876"
"12","UNCLE IKE'S","Sep-2016",1262365,467075,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"13","UNCLE IKE'S","Aug-2016",1356644,501958,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"14","UNCLE IKE'S","Jul-2016",1394889,516109,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"15","UNCLE IKE'S","Jun-2016",1306206,483296,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"16","UNCLE IKE'S","May-2016",1370628,507132,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"17","UNCLE IKE'S","Apr-2016",1408444,521124,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"18","UNCLE IKE'S","Mar-2016",1461633,540804,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"19","UNCLE IKE'S","Feb-2016",1360234,503287,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"20","UNCLE IKE'S","Jan-2016",1400016,518006,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"21","UNCLE IKE'S","All-2015",13644308,4853908,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"22","UNCLE IKE'S","All-2014",1319621,439874,"King County","Retailer since Sep 2014","http://www.502data.com//license/414533"
"23","CLEAR CHOICE CANNABIS","Sep-2016",1188938,439907,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"24","CLEAR CHOICE CANNABIS","Aug-2016",1147537,424589,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"25","CLEAR CHOICE CANNABIS","Jul-2016",1070925,396242,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"26","CLEAR CHOICE CANNABIS","Jun-2016",835000,308950,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"27","CLEAR CHOICE CANNABIS","May-2016",772339,285765,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"28","CLEAR CHOICE CANNABIS","Apr-2016",728938,269707,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"29","CLEAR CHOICE CANNABIS","Mar-2016",716541,265120,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"30","CLEAR CHOICE CANNABIS","Feb-2016",669631,247764,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"31","CLEAR CHOICE CANNABIS","Jan-2016",615117,227593,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"32","CLEAR CHOICE CANNABIS","All-2015",5421818,1929552,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"33","CLEAR CHOICE CANNABIS","All-2014",712564,237521,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/413358"
"34","GREENSIDE","Sep-2016",942854,348856,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"35","GREENSIDE","Aug-2016",953021,352618,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"36","GREENSIDE","Jul-2016",960087,355232,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"37","GREENSIDE","Jun-2016",867859,321108,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"38","GREENSIDE","May-2016",892361,330174,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"39","GREENSIDE","Apr-2016",880647,325840,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"40","GREENSIDE","Mar-2016",869609,321755,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"41","GREENSIDE","Feb-2016",805647,298089,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"42","GREENSIDE","Jan-2016",781303,289082,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"43","GREENSIDE","All-2015",7245878,2578695,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"44","GREENSIDE","All-2014",262573,87524,"King County","Retailer since Oct 2014","http://www.502data.com//license/414295"
"45","KUSHMART","Sep-2016",813161,300869,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"46","KUSHMART","Aug-2016",797407,295040,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"47","KUSHMART","Jul-2016",798545,295462,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"48","KUSHMART","Jun-2016",718664,265906,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"49","KUSHMART","May-2016",736681,272572,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"50","KUSHMART","Apr-2016",760078,281229,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"51","KUSHMART","Mar-2016",762442,282104,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"52","KUSHMART","Feb-2016",720556,266606,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"53","KUSHMART","Jan-2016",646070,239046,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"54","KUSHMART","All-2015",5082863,1819613,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"55","KUSHMART","All-2014",188833,62944,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"56","GREENLIGHT","Sep-2016",768164,284221,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"57","GREENLIGHT","Aug-2016",695980,257513,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"58","GREENLIGHT","Jul-2016",744892,275610,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"59","GREENLIGHT","Jun-2016",650260,240596,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"60","GREENLIGHT","May-2016",631422,233626,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"61","GREENLIGHT","Apr-2016",647486,239570,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"62","GREENLIGHT","Mar-2016",669374,247668,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"63","GREENLIGHT","Feb-2016",638454,236228,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"64","GREENLIGHT","Jan-2016",596975,220881,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"65","GREENLIGHT","All-2015",5651610,2014299,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"66","GREENLIGHT","All-2014",305107,101702,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"67","HIGHER LEAF MARIJUANA BOUTIQUE","Sep-2016",756200,279794,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"68","HIGHER LEAF MARIJUANA BOUTIQUE","Aug-2016",767237,283878,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"69","HIGHER LEAF MARIJUANA BOUTIQUE","Jul-2016",752359,278373,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
